method,dt,n_rows,final_time,final_energy_ratio,max_abs_probe_error,status
newmark_leapfrog,0.15,5,0.6,905344427383,5.82337854434,diverged
newmark_leapfrog,0.1,5,0.4,522514374.121,0.230365210556,diverged
newmark_leapfrog,0.05,8,0.35,4350704833.35,10.5057259219,diverged
newmark_leapfrog,0.02,251,5,0.999049167823,0.0305971504159,ok
newmark_leapfrog,0.01,501,5,0.999761481368,0.0279832622667,ok
newmark_leapfrog,0.005,1001,5,0.999940338365,0.0271815867859,ok
newmark_leapfrog,0.001,5001,5,0.999997612375,0.0269261622636,ok
newmark_avg_accel,0.15,34,4.95,1,0.36877294949,ok
newmark_avg_accel,0.1,51,5,1,0.153179314613,ok
newmark_avg_accel,0.05,101,5,1,0.0192853817614,ok
newmark_avg_accel,0.02,251,5,1,0.0197395817503,ok
newmark_avg_accel,0.01,501,5,1,0.0250924348236,ok
newmark_avg_accel,0.005,1001,5,1,0.0263501009215,ok
newmark_avg_accel,0.001,5001,5,1.00000000001,0.0268885894435,ok
theta_forward,0.15,8,1.05,1036812963.67,1.24153930215,diverged
theta_forward,0.1,9,0.8,220221351.605,0.903701802753,diverged
theta_forward,0.05,13,0.6,301791587.933,1.30635281451,diverged
theta_forward,0.02,28,0.54,342444653.196,16.1978519675,diverged
theta_forward,0.01,68,0.67,144948872.633,25.5873407411,diverged
theta_forward,0.005,220,1.095,100522102.835,63.1190597016,diverged
theta_forward,0.001,5001,5,62095012.3703,42.0519401899,diverged
theta_crank_nicolson,0.15,34,4.95,1,0.36877294949,ok
theta_crank_nicolson,0.1,51,5,1,0.153179314613,ok
theta_crank_nicolson,0.05,101,5,1,0.0192853817613,ok
theta_crank_nicolson,0.02,251,5,1,0.0197395817505,ok
theta_crank_nicolson,0.01,501,5,1,0.0250924348241,ok
theta_crank_nicolson,0.005,1001,5,1,0.0263501009271,ok
theta_crank_nicolson,0.001,5001,5,1,0.0268885894126,ok
theta_backward,0.15,34,4.95,0.000253945108074,0.967461135619,ok
theta_backward,0.1,51,5,0.00256512232592,0.940605938249,ok
theta_backward,0.05,101,5,0.0442025689794,0.750434637038,ok
theta_backward,0.02,251,5,0.282507133484,0.4303601648,ok
theta_backward,0.01,501,5,0.530875230856,0.248459415572,ok
theta_backward,0.005,1001,5,0.728499991811,0.1368712255,ok
theta_backward,0.001,5001,5,0.93859790145,0.0409098111132,ok
